accountnumber,b2bcnt2y,model2score,sbfecardcount
a3P4u000004AhbCEAS,-99999.0,222,-99.0
a3P4u000004AhcsEAC,-99999.0,685,1.0
a3P4u000004AhoXEAS,0.0,659,1.0
a3P4u000004AhuVEAS,0.0,685,1.0
a3P4u000004Ai0tEAC,0.0,675,-99.0
a3P4u000004Ai2pEAC,0.0,711,-99.0
a3P4u000004Ai7sEAC,0.0,659,2.0
a3P4u000004AiLyEAK,0.0,732,1.0
a3P4u000004AiNLEA0,0.0,608,-99.0
a3P4u000004AiNzEAK,-99999.0,222,-99.0
a3P4u000004AiQUEA0,-99999.0,222,-99.0
a3P4u000004AiRIEA0,0.0,743,-99.0
a3P4u000004AiRcEAK,0.0,676,-99.0
a3P4u000004AiUbEAK,-99999.0,222,-99.0
a3P4u000004AiXuEAK,0.0,720,-99.0
a3P4u000004AiZlEAK,1.0,717,1.0
a3P4u000004AioQEAS,-99999.0,222,-99.0
a3P4u000004AixrEAC,0.0,726,-99.0
a3P4u000004AiyVEAS,-99999.0,222,-99.0
a3P4u000004AjFhEAK,0.0,658,-99.0
a3P4u000004AjMJEA0,0.0,648,-99.0
a3P4u000004AjREEA0,0.0,711,-99.0
a3P4u000004AjUwEAK,0.0,664,1.0
a3P4u000004AjYPEA0,0.0,689,-99.0
a3P4u000004AjbTEAS,0.0,680,-99.0
a3P4u000004AjdtEAC,3.0,780,3.0
a3P4u000004AjgTEAS,0.0,652,-99.0
a3P4u000004AjmTEAS,-99999.0,656,0.0
a3P4u000004AjrlEAC,-99999.0,222,-99.0
a3P4u000004Ak67EAC,2.0,621,1.0
a3P4u000004AkBBEA0,-99999.0,222,-99.0
a3P4u000004AkE0EAK,0.0,720,-99.0
a3P4u000004AkHdEAK,0.0,669,2.0
a3P4u000004AkJtEAK,-99999.0,222,-99.0
a3P4u000004AkJyEAK,0.0,783,3.0
a3P4u000004AkNlEAK,0.0,684,-99.0
a3P4u000004AkQiEAK,0.0,720,-99.0
a3P4u000004AkcjEAC,2.0,708,1.0
a3P4u000004AkeaEAC,0.0,711,6.0
a3P4u000004AkkNEAS,4.0,587,0.0
a3P4u000004Al1wEAC,-99999.0,222,-99.0
a3P4u000004Al2QEAS,0.0,666,1.0
a3P4u000004Al2VEAS,0.0,729,0.0
a3P4u000004Al3nEAC,0.0,701,-99.0
a3P4u000004Al8sEAC,0.0,715,-99.0
a3P4u000004AlGdEAK,1.0,743,-99.0
a3P4u000004AlHMEA0,1.0,649,1.0
a3P4u000004AlJcEAK,0.0,704,-99.0
a3P4u000004AlP7EAK,0.0,618,0.0
a3P4u000004AlccEAC,1.0,639,1.0
a3P4u000004AlfREAS,0.0,646,-99.0
a3P4u000004AljlEAC,-99999.0,222,-99.0
a3P4u000004AlkzEAC,0.0,635,-99.0
a3P4u000004AlrUEAS,0.0,731,-99.0
a3P4u000004AlsSEAS,2.0,659,1.0
a3P4u000004AluEEAS,0.0,689,1.0
a3P4u000004AlvlEAC,-99999.0,222,-99.0
a3P4u000004AlvvEAC,2.0,652,1.0
a3P4u000004AlwqEAC,2.0,820,4.0
a3P4u000004AlxeEAC,0.0,690,-99.0
a3P4u000004AlycEAC,-99999.0,222,-99.0
a3P4u000004Am04EAC,0.0,719,-99.0
a3P4u000004Am32EAC,1.0,677,-99.0
a3P4u000004Am3qEAC,0.0,668,1.0
a3P4u000004AmA8EAK,0.0,618,1.0
a3P4u000004AmDlEAK,1.0,696,-99.0
a3P4u000004AmI9EAK,0.0,734,-99.0
a3P4u000004AmIdEAK,0.0,704,-99.0
a3P4u000004AmJlEAK,0.0,707,-99.0
a3P4u000004AmKAEA0,1.0,646,0.0
a3P4u000004AmNCEA0,0.0,699,-99.0
a3P4u000004AmNMEA0,1.0,656,-99.0
a3P4u000004AmQfEAK,0.0,704,-99.0
a3P4u000004AmUSEA0,0.0,605,1.0
a3P4u000004AmVBEA0,0.0,732,-99.0
a3P4u000004AmVQEA0,0.0,742,3.0
a3P4u000004AmWEEA0,-99999.0,222,-99.0
a3P4u000004AmafEAC,0.0,733,-99.0
a3P4u000004AmdjEAC,-99999.0,222,-99.0
a3P4u000004AmmHEAS,0.0,642,3.0
a3P4u000004AmseEAC,0.0,772,2.0
a3P4u000004AmzBEAS,0.0,702,4.0
a3P4u000004AmzfEAC,0.0,706,1.0
a3P4u000004An1CEAS,0.0,595,-99.0
a3P4u000004An1bEAC,0.0,661,-99.0
a3P4u000004An1qEAC,0.0,680,-99.0
a3P4u000004An3NEAS,0.0,641,-99.0
a3P4u000004An46EAC,-99999.0,222,-99.0
a3P4u000004An4GEAS,1.0,626,-99.0
a3P4u000004An88EAC,0.0,664,-99.0
a3P4u000004An9pEAC,3.0,593,8.0
a3P4u000004AnAYEA0,0.0,697,2.0
a3P4u000004AnDrEAK,-99999.0,222,-99.0
a3P4u000004AnEfEAK,0.0,616,1.0
a3P4u000004AnGWEA0,0.0,729,-99.0
a3P4u000004AnGgEAK,1.0,648,-99.0
a3P4u000004AnJ6EAK,5.0,535,1.0
a3P4u000004AnRdEAK,0.0,691,-99.0
a3P4u000004AnTyEAK,0.0,619,3.0
a3P4u000004AnUrEAK,0.0,683,-99.0
a3P4u000004AnewEAC,-99999.0,222,-99.0
a3P4u000004AnhbEAC,0.0,778,-99.0
a3P4u000004AnpcEAC,2.0,649,-99.0
a3P4u000004Ans0EAC,0.0,683,-99.0
a3P4u000004AntwEAC,-99999.0,222,-99.0
a3P4u000004Anu1EAC,0.0,747,3.0
a3P4u000004AnuaEAC,-99999.0,222,-99.0
a3P4u000004AnukEAC,1.0,654,1.0
a3P4u000004AnupEAC,2.0,689,1.0
a3P4u000004AnuuEAC,1.0,638,-99.0
a3P4u000004Anv9EAC,0.0,718,-99.0
a3P4u000004AnyNEAS,1.0,612,-99.0
a3P4u000004Ao2QEAS,1.0,729,1.0
a3P4u000004AoL7EAK,0.0,693,-99.0
a3P4u000004AoNNEA0,-99999.0,660,0.0
a3P4u000004AoOkEAK,0.0,708,-99.0
a3P4u000004AoPpEAK,-99999.0,222,-99.0
a3P4u000004AoQPEA0,0.0,700,-99.0
a3P4u000004AoUfEAK,0.0,706,-99.0
a3P4u000004AoYzEAK,1.0,603,1.0
a3P4u000004AoagEAC,0.0,654,-99.0
a3P4u000004AoibEAC,-99999.0,222,-99.0
a3P4u000004Aov6EAC,0.0,654,0.0
a3P4u000004AoxREAS,-99999.0,222,-99.0
a3P4u000004AoyAEAS,0.0,686,-99.0
a3P4u000004Ap0SEAS,0.0,574,1.0
a3P4u000004Ap1zEAC,-99999.0,222,-99.0
a3P4u000004Ap6kEAC,0.0,756,-99.0
a3P4u000004Ap8MEAS,0.0,742,2.0
a3P4u000004Ap8vEAC,0.0,689,-99.0
a3P4u000004Ap9FEAS,0.0,655,1.0
a3P4u000004ApA3EAK,0.0,653,1.0
a3P4u000004ApAIEA0,-99999.0,222,-99.0
a3P4u000004ApAwEAK,1.0,734,-99.0
a3P4u000004ApB6EAK,1.0,670,-99.0
a3P4u000004ApH4EAK,0.0,688,-99.0
a3P4u000004ApLQEA0,0.0,547,2.0
a3P4u000004ApLkEAK,0.0,752,2.0
a3P4u000004ApPrEAK,1.0,608,2.0
a3P4u000004ApQ1EAK,0.0,750,-99.0
a3P4u000004ApWEEA0,0.0,732,-99.0
a3P4u000004ApXqEAK,0.0,699,-99.0
a3P4u000004ApaqEAC,0.0,703,-99.0
a3P4u000004ApcwEAC,0.0,687,-99.0
a3P4u000004ApdBEAS,0.0,735,0.0
a3P4u000004ApesEAC,-99999.0,222,-99.0
a3P4u000004ApfCEAS,-99999.0,222,-99.0
a3P4u000004Apg5EAC,0.0,719,-99.0
a3P4u000004ApiLEAS,0.0,695,-99.0
a3P4u000004ApkWEAS,1.0,669,-99.0
a3P4u000004Apn0EAC,0.0,711,-99.0
a3P4u000004ApnPEAS,0.0,647,-99.0
a3P4u000004ApoDEAS,0.0,630,1.0
a3P4u000004AppREAS,0.0,726,1.0
a3P4u000004ApplEAC,0.0,687,-99.0
a3P4u000004Apt7EAC,0.0,622,1.0
a3P4u000004AptMEAS,4.0,747,0.0
a3P4u000004Aq1BEAS,0.0,774,-99.0
a3P4u000004Aq1GEAS,1.0,684,-99.0
a3P4u000004Aq6uEAC,0.0,702,-99.0
a3P4u000004Aq9AEAS,0.0,673,-99.0
a3P4u000004AqEoEAK,0.0,699,-99.0
a3P4u000004AqFSEA0,0.0,639,-99.0
a3P4u000004AqGVEA0,3.0,705,-99.0
a3P4u000004AqK3EAK,0.0,723,-99.0
a3P4u000004AqKhEAK,0.0,684,-99.0
a3P4u000004AqKrEAK,-99999.0,222,-99.0
a3P4u000004AqMJEA0,0.0,653,-99.0
a3P4u000004AqOKEA0,-99999.0,222,-99.0
a3P4u000004AqOjEAK,2.0,669,2.0
a3P4u000004AqR9EAK,0.0,685,-99.0
a3P4u000004AqRnEAK,0.0,558,1.0
a3P4u000004AqSCEA0,-99999.0,222,-99.0
a3P4u000004AqSHEA0,0.0,702,-99.0
a3P4u000004AqSREA0,0.0,754,-99.0
a3P4u000004AqSlEAK,0.0,644,2.0
a3P4u000004AqU8EAK,0.0,688,-99.0
a3P4u000004AqWYEA0,0.0,750,-99.0
a3P4u000004AqWsEAK,0.0,718,-99.0
a3P4u000004AqYtEAK,0.0,733,6.0
a3P4u000004AqZXEA0,0.0,719,-99.0
a3P4u000004AqZcEAK,-99999.0,692,0.0
a3P4u000004AqZrEAK,0.0,686,-99.0
a3P4u000004AqapEAC,0.0,653,-99.0
a3P4u000004Aqb4EAC,0.0,682,-99.0
a3P4u000004AqbOEAS,0.0,749,-99.0
a3P4u000004AqbiEAC,0.0,648,-99.0
a3P4u000004Aqd5EAC,0.0,763,0.0
