name,b2bcnt2y,model2score,sbfecardcount
Application-377297,0.0,673,-99.0
Application-442887,3.0,754,6.0
Application-418094,0.0,751,-99.0
Application-424748,1.0,720,-99.0
Application-416801,1.0,680,-99.0
Application-419695,0.0,652,-99.0
Application-401053,0.0,741,-99.0
Application-444163,-99999.0,222,-99.0
Application-437662,0.0,641,-99.0
Application-425427,0.0,719,-99.0
Application-418727,1.0,694,-99.0
Application-444839,0.0,664,-99.0
Application-430721,0.0,532,1.0
Application-409708,0.0,639,-99.0
Application-423878,1.0,743,-99.0
Application-411741,0.0,665,-99.0
Application-424213,-99999.0,222,-99.0
Application-445619,0.0,648,-99.0
Application-439256,0.0,687,-99.0
Application-435581,-99999.0,222,-99.0
Application-395135,0.0,662,1.0
Application-404296,0.0,649,-99.0
Application-378786,0.0,576,-99.0
Application-433054,0.0,729,-99.0
Application-381283,0.0,692,-99.0
Application-410219,0.0,680,-99.0
Application-394308,1.0,615,-99.0
Application-407185,0.0,711,-99.0
Application-388124,0.0,637,-99.0
Application-426372,0.0,706,-99.0
Application-376800,1.0,601,1.0
Application-387261,0.0,575,-99.0
Application-435954,1.0,722,-99.0
Application-420434,2.0,581,1.0
Application-382485,1.0,688,-99.0
Application-415137,1.0,648,1.0
Application-401068,0.0,717,-99.0
Application-382185,0.0,682,-99.0
Application-410907,1.0,659,-99.0
Application-441135,1.0,507,1.0
Application-389552,0.0,607,-99.0
Application-445649,2.0,573,1.0
Application-448931,0.0,709,-99.0
Application-440648,0.0,703,-99.0
Application-377361,1.0,693,-99.0
Application-386831,1.0,693,-99.0
Application-387161,0.0,716,-99.0
Application-447829,0.0,717,-99.0
Application-436377,0.0,716,-99.0
Application-374547,0.0,689,-99.0
Application-420210,-99999.0,222,-99.0
Application-439277,0.0,712,-99.0
Application-422315,1.0,691,-99.0
Application-438261,0.0,654,-99.0
Application-434915,0.0,649,-99.0
Application-441023,0.0,692,-99.0
Application-418572,1.0,672,-99.0
Application-440575,0.0,611,2.0
Application-399886,5.0,636,20.0
Application-407991,0.0,684,-99.0
Application-392249,0.0,550,-99.0
Application-414704,1.0,698,-99.0
Application-441050,0.0,665,-99.0
Application-377987,2.0,675,-99.0
Application-391576,0.0,715,-99.0
Application-446137,0.0,678,-99.0
Application-378073,0.0,691,-99.0
Application-430118,0.0,731,-99.0
Application-418792,0.0,680,-99.0
Application-427429,0.0,672,-99.0
Application-434242,0.0,719,-99.0
Application-412834,0.0,645,0.0
Application-419359,0.0,706,-99.0
Application-416295,0.0,691,-99.0
Application-438412,0.0,678,-99.0
Application-418186,-99999.0,222,-99.0
Application-435938,2.0,506,1.0
Application-404293,1.0,518,-99.0
Application-419706,0.0,595,-99.0
Application-399303,0.0,649,-99.0
Application-435406,-99999.0,222,-99.0
Application-411578,0.0,664,-99.0
Application-408187,0.0,613,-99.0
Application-442983,0.0,703,-99.0
Application-421563,0.0,637,-99.0
Application-438462,0.0,690,-99.0
Application-440872,0.0,624,-99.0
Application-416838,1.0,568,-99.0
Application-387906,0.0,692,-99.0
Application-409674,0.0,725,-99.0
Application-441843,0.0,622,1.0
Application-437575,0.0,747,-99.0
Application-441170,0.0,659,1.0
Application-448757,-99999.0,222,-99.0
Application-448016,0.0,756,-99.0
Application-405885,0.0,698,-99.0
Application-422094,0.0,628,3.0
Application-434784,0.0,710,-99.0
Application-402672,1.0,625,-99.0
Application-427957,0.0,672,-99.0
Application-423785,0.0,668,-99.0
Application-433182,0.0,627,1.0
Application-381677,0.0,656,-99.0
Application-416481,2.0,656,0.0
Application-420204,-99999.0,222,-99.0
Application-440006,0.0,701,-99.0
Application-423233,0.0,674,-99.0
Application-405731,1.0,542,1.0
Application-444761,0.0,733,-99.0
Application-444893,1.0,608,-99.0
Application-396371,0.0,672,1.0
Application-417042,0.0,705,-99.0
Application-438733,0.0,669,1.0
Application-446753,0.0,683,-99.0
Application-430709,-99999.0,222,-99.0
Application-427270,0.0,627,1.0
Application-447271,0.0,622,2.0
Application-443020,0.0,717,-99.0
Application-413076,4.0,603,4.0
Application-416438,1.0,738,-99.0
Application-411862,2.0,514,1.0
Application-424056,0.0,696,-99.0
Application-419708,-99999.0,222,-99.0
Application-442064,0.0,576,1.0
Application-432846,0.0,629,-99.0
Application-403793,-99999.0,222,-99.0
Application-440086,1.0,646,-99.0
Application-405901,0.0,655,-99.0
Application-409994,0.0,618,2.0
Application-418085,0.0,606,1.0
Application-443410,1.0,638,0.0
Application-376628,1.0,674,-99.0
Application-428507,0.0,570,1.0
Application-426788,0.0,687,-99.0
Application-433721,0.0,693,-99.0
Application-414718,0.0,715,2.0
Application-411901,0.0,676,-99.0
Application-386400,0.0,659,-99.0
